Task,Priority,Owner,Status,Start date,End date,Milestone,Deliverable,Notes
Dockerize frontend/backend and compose setup,High,Anishka Chauhan,Done,2026-04-08,2026-04-08,M4 DevEx,Initial containerized runtime,Changed: Initial containerized runtime. Scope: Dockerize frontend/backend and compose setup.
Refine account detail and close-account experience,Medium,Ved-Joshi,Done,2026-04-08,2026-04-08,M3 Core Features,Account detail UX and closure rules,Changed: Account detail UX and closure rules. Scope: Refine account detail and close-account experience.
Implement backend account module endpoints,High,Hazelette,Done,2026-04-11,2026-04-11,M3 Core Features,Account open/close backend services,Changed: Account open/close backend services. Scope: Implement backend account module endpoints.
Implement transaction and transfer backend services/routers,High,Hazelette,Done,2026-04-11,2026-04-11,M3 Core Features,Transfer and transaction service layer,Changed: Transfer and transaction service layer. Scope: Implement transaction and transfer backend services/routers.
Add frontend scheduled and recurring transfers,High,Ved-Joshi,Done,2026-04-15,2026-04-15,M6 Money Movement,Scheduled recurring internal transfer support,Changed: Scheduled recurring internal transfer support. Scope: Add frontend scheduled and recurring transfers.
Improve transfer input UX and timezone autofill,Medium,Ved-Joshi,Done,2026-04-15,2026-04-15,M6 Money Movement,Currency-entry + timezone auto-fill improvements,Changed: Currency-entry + timezone auto-fill improvements. Scope: Improve transfer input UX and timezone autofill.
Recover stale scheduled transfers in runner,High,Ved-Joshi,Done,2026-04-17,2026-04-17,M6 Money Movement,Transfer runner resiliency fix,Changed: Transfer runner resiliency fix. Scope: Recover stale scheduled transfers in runner.
Add transaction CSV export and filters metadata,Medium,Ved-Joshi,Done,2026-04-17,2026-04-23,M6 Money Movement,Filtered export with metadata,Changed: Filtered export with metadata. Scope: Add transaction CSV export and filters metadata.
Add transaction pagination and related UI hardening,Medium,Ved-Joshi,Done,2026-04-17,2026-04-17,M5 UX,Paginated transaction list,Changed: Paginated transaction list. Scope: Add transaction pagination and related UI hardening.
Implement bill payment backend updates,High,Hazelette,Done,2026-04-20,2026-04-20,M6 Money Movement,Bill pay backend updates and cleanup,Changed: Bill pay backend updates and cleanup. Scope: Implement bill payment backend updates.
Add bill pay cancel/retry actions in frontend,High,Ved-Joshi,Done,2026-04-22,2026-04-22,M6 Money Movement,Bill pay action flows,Changed: Bill pay action flows. Scope: Add bill pay cancel/retry actions in frontend.
Add daily cadence support for bill payments,High,Ved-Joshi,Done,2026-04-22,2026-04-22,M6 Money Movement,Daily cadence scheduling logic,Changed: Daily cadence scheduling logic. Scope: Add daily cadence support for bill payments.
Refactor settings/profile editing UI,Medium,Ved-Joshi,Done,2026-04-22,2026-04-22,M5 UX,Settings/profile UX revamp,Changed: Settings/profile UX revamp. Scope: Refactor settings/profile editing UI.
Add member and external transfer feature set,High,Ved-Joshi,Done,2026-04-22,2026-04-23,M6 Money Movement,Member + external transfer flows and validation,Changed: Member + external transfer flows and validation. Scope: Add member and external transfer feature set.
Add notification digests and preferences toggles,Medium,Ved-Joshi,Done,2026-04-23,2026-04-23,M5 UX,Notification digest + preference controls,Changed: Notification digest + preference controls. Scope: Add notification digests and preferences toggles.
Add sandbox external bank linking and account identifiers,High,Ved-Joshi,Done,2026-04-23,2026-04-23,M6 Money Movement,External linking + account identifier support,Changed: External linking + account identifier support. Scope: Add sandbox external bank linking and account identifiers.
Ledger integration for bill pay/deposit workflows,High,Hazelette,Done,2026-04-25,2026-04-27,M7 Ledger Integrity,Ledger postings for bill pay/deposit/withdrawal,Changed: Ledger postings for bill pay/deposit/withdrawal. Scope: Ledger integration for bill pay/deposit workflows.
Harden deposit check upload lifecycle,High,Ved-Joshi,Done,2026-04-26,2026-04-26,M6 Money Movement,Check upload session validation and auto-refresh,Changed: Check upload session validation and auto-refresh. Scope: Harden deposit check upload lifecycle.
Fix deposit upload race/expiry and payment error messaging,High,Ved-Joshi,Done,2026-04-26,2026-04-26,M6 Money Movement,Concurrency + expiry + copy fixes,Changed: Concurrency + expiry + copy fixes. Scope: Fix deposit upload race/expiry and payment error messaging.
Add global rate limiting and ownership checks,High,Ved-Joshi,Done,2026-04-26,2026-04-26,M2 Security,API throttle middleware + access hardening,Changed: API throttle middleware + access hardening. Scope: Add global rate limiting and ownership checks.
Expand backend/frontend test coverage,High,Ved-Joshi,Done,2026-04-26,2026-04-26,M8 Quality,Comprehensive tests across layers,Changed: Comprehensive tests across layers. Scope: Expand backend/frontend test coverage.
Improve Docker compose + seeded demo onboarding,Medium,Ved-Joshi,Done,2026-04-26,2026-04-26,M4 DevEx,Docker improvements and seed onboarding docs,Changed: Docker improvements and seed onboarding docs. Scope: Improve Docker compose + seeded demo onboarding.
Expand demo seed data for fuller account coverage,Medium,Ved-Joshi,Done,2026-04-27,2026-04-27,M8 Quality,Richer seeded transactions across accounts,Changed: Richer seeded transactions across accounts. Scope: Expand demo seed data for fuller account coverage.
Remove SSN from registration flow end-to-end,High,Ved-Joshi,Done,2026-04-27,2026-04-27,M9 Compliance,SSN removed from frontend/edge function/storage path,Changed: SSN removed from frontend/edge function/storage path. Scope: Remove SSN from registration flow end-to-end.
Protect demo member credentials in seed script,High,Ved-Joshi,Done,2026-04-27,2026-04-27,M8 Quality,Seed no longer overwrites real user passwords,Changed: Seed no longer overwrites real user passwords. Scope: Protect demo member credentials in seed script.
Mobile feature expansion and bug fixes stream,Medium,SphenOz,Done,2026-04-14,2026-04-27,M10 Mobile,Mobile pages/accounts/transfers/debugging improvements,Changed: Mobile pages/accounts/transfers/debugging improvements. Scope: Mobile feature expansion and bug fixes stream.
Implement Biometric Authentication,High,Jerry,Backlog,,,M9 Security,Biometric login support for mobile and web,
Add Multi-Currency Support,Medium,Jerry,Backlog,,,M9 Features,Multi-currency accounts and transactions with exchange rates,
